MOTIONS (ORIGIN OF INTERNAL CALCULATING COORDINATE, INTERPOLATE, ONLY RIDIG MODAL)
--------------------------------------------------------------
WAVE ANGLE = 0.00
PERIOD   FREQ                           P1   
------   ----     --------------------------------------------
(SECS)  (RAD/S)        REAL      IMAGE         AMP      PHASE
5.663    1.110    -2.892e-015 -1.873e-016  2.898e-015    0.000
5.560    1.130    -1.787e-015 -1.967e-016  1.797e-015    0.000
5.460    1.151    -2.927e-016 -1.674e-016  3.372e-016    0.000
5.364    1.171     1.128e-015 -1.087e-016  1.133e-015    0.000
5.271    1.192     2.077e-015 -2.745e-017  2.077e-015    0.000
5.182    1.213     2.240e-015  7.076e-017  2.241e-015    0.000
5.095    1.233     1.725e-015  1.743e-016  1.734e-015    0.000
5.011    1.254     8.984e-016  2.665e-016  9.371e-016    0.000
4.930    1.274     8.501e-017  3.312e-016  3.419e-016    0.000
4.852    1.295    -4.326e-016  3.528e-016  5.583e-016    0.000
4.776    1.316    -4.472e-016  3.191e-016  5.494e-016    0.000
4.702    1.336    -8.466e-017  2.430e-016  2.573e-016    0.000
4.631    1.357     3.929e-016  1.495e-016  4.204e-016    0.000
4.562    1.377     7.523e-016  6.195e-017  7.549e-016    0.000
4.494    1.398     7.876e-016  2.651e-018  7.876e-016    0.000
4.429    1.419     3.655e-016 -1.226e-017  3.657e-016    0.000
4.366    1.439    -3.757e-016  6.744e-018  3.757e-016    0.000
4.304    1.460    -1.226e-015  4.155e-017  1.227e-015    0.000
4.244    1.480    -1.996e-015  7.537e-017  1.997e-015    0.000
4.186    1.501    -2.509e-015  9.269e-017  2.511e-015    0.000
4.129    1.522    -2.656e-015  8.351e-017  2.657e-015    0.000
4.074    1.542    -2.500e-015  5.255e-017  2.500e-015    0.000
4.020    1.563    -2.138e-015  6.334e-018  2.138e-015    0.000
3.968    1.583    -1.664e-015 -5.016e-017  1.665e-015    0.000
3.917    1.604    -1.171e-015 -1.135e-016  1.177e-015    0.000
3.867    1.625    -7.405e-016 -1.784e-016  7.617e-016    0.000
3.819    1.645    -4.298e-016 -2.331e-016  4.889e-016    0.000
3.772    1.666    -2.844e-016 -2.638e-016  3.879e-016    0.000
3.726    1.686    -3.399e-016 -2.563e-016  4.257e-016    0.000
3.681    1.707    -6.216e-016 -1.956e-016  6.516e-016    0.000
3.637    1.728    -1.092e-015 -8.376e-017  1.096e-015    0.000
3.594    1.748    -1.636e-015  5.110e-017  1.637e-015    0.000
3.552    1.769    -2.140e-015  1.795e-016  2.147e-015    0.000
3.511    1.789    -2.502e-015  2.729e-016  2.517e-015    0.000
3.471    1.810    -2.634e-015  3.042e-016  2.652e-015    0.000
3.432    1.831    -2.527e-015  2.710e-016  2.542e-015    0.000
3.394    1.851    -2.246e-015  1.946e-016  2.255e-015    0.000
3.357    1.872    -1.856e-015  9.660e-017  1.858e-015    0.000
3.320    1.892    -1.415e-015 -2.750e-018  1.415e-015    0.000
3.284    1.913    -9.783e-016 -8.509e-017  9.820e-016    0.000
3.249    1.934    -5.635e-016 -1.452e-016  5.819e-016    0.000
3.215    1.954    -1.693e-016 -1.871e-016  2.523e-016    0.000
3.182    1.975     2.026e-016 -2.151e-016  2.955e-016    0.000
3.149    1.995     5.467e-016 -2.344e-016  5.948e-016    0.000
3.117    2.016     8.525e-016 -2.503e-016  8.885e-016    0.000
3.085    2.037     1.100e-015 -2.642e-016  1.131e-015    0.000
3.054    2.057     1.272e-015 -2.740e-016  1.302e-015    0.000
3.024    2.078     1.362e-015 -2.753e-016  1.390e-015    0.000
2.994    2.098     1.371e-015 -2.606e-016  1.396e-015    0.000
2.965    2.119     1.315e-015 -2.219e-016  1.333e-015    0.000
2.936    2.140     1.222e-015 -1.624e-016  1.232e-015    0.000
2.908    2.160     1.117e-015 -9.230e-017  1.121e-015    0.000
2.881    2.181     1.013e-015 -2.537e-017  1.013e-015    0.000
2.854    2.202     9.107e-016  1.911e-017  9.109e-016    0.000
2.828    2.222     7.964e-016  2.335e-017  7.967e-016    0.000
